#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  20800      1.79e-01    2.33e-01      1.73e-03    1.01e-03      1.57e-02    2.05e-02    1.3e-04
  20900      1.87e-01    1.89e-01      4.89e-04    4.33e-04      1.64e-02    1.66e-02    1.3e-04
  21000      1.79e-01    1.69e-01      3.29e-03    2.96e-03      1.56e-02    1.47e-02    1.3e-04
  21100      1.83e-01    1.77e-01      4.10e-04    6.47e-04      1.60e-02    1.55e-02    1.3e-04
  21200      1.85e-01    1.29e-01      2.20e-03    2.30e-03      1.62e-02    1.12e-02    1.3e-04
  21300      1.73e-01    1.41e-01      4.76e-04    5.23e-04      1.52e-02    1.24e-02    1.3e-04
  21400      1.97e-01    2.25e-01      1.21e-03    1.74e-03      1.73e-02    1.97e-02    1.3e-04
  21500      1.86e-01    1.73e-01      2.39e-03    1.96e-03      1.62e-02    1.52e-02    1.3e-04
  21600      1.78e-01    1.74e-01      1.20e-03    1.18e-03      1.57e-02    1.53e-02    1.3e-04
  21700      1.93e-01    1.99e-01      3.93e-04    4.39e-04      1.70e-02    1.75e-02    1.3e-04
  21800      2.08e-01    2.13e-01      2.00e-03    1.86e-03      1.82e-02    1.87e-02    1.3e-04
  21900      1.87e-01    2.04e-01      2.37e-04    5.68e-04      1.65e-02    1.79e-02    1.3e-04
  22000      1.93e-01    1.88e-01      1.66e-03    1.52e-03      1.69e-02    1.65e-02    1.3e-04
  22100      1.75e-01    2.20e-01      3.06e-03    2.63e-03      1.52e-02    1.93e-02    1.3e-04
  22200      1.65e-01    2.52e-01      3.27e-04    1.00e-03      1.45e-02    2.22e-02    1.3e-04
  22300      1.76e-01    2.29e-01      1.86e-03    2.33e-03      1.54e-02    2.01e-02    1.3e-04
  22400      1.98e-01    1.80e-01      3.54e-03    3.14e-03      1.72e-02    1.57e-02    1.3e-04
  22500      1.87e-01    1.78e-01      3.50e-03    2.83e-03      1.63e-02    1.56e-02    1.3e-04
  22600      1.79e-01    2.46e-01      2.60e-03    3.31e-03      1.57e-02    2.16e-02    1.3e-04
  22700      1.80e-01    1.76e-01      1.92e-03    1.99e-03      1.58e-02    1.54e-02    1.3e-04
  22800      1.84e-01    1.94e-01      1.10e-03    1.31e-03      1.61e-02    1.70e-02    1.3e-04
  22900      1.90e-01    1.56e-01      1.38e-03    1.05e-03      1.67e-02    1.37e-02    1.3e-04
  23000      1.99e-01    1.53e-01      2.39e-03    2.26e-03      1.74e-02    1.33e-02    1.3e-04
  23100      1.76e-01    9.64e-02      1.54e-03    1.28e-03      1.55e-02    8.44e-03    1.3e-04
  23200      1.77e-01    1.70e-01      2.59e-03    2.60e-03      1.55e-02    1.48e-02    1.3e-04
  23300      1.77e-01    1.69e-01      2.65e-03    2.04e-03      1.55e-02    1.48e-02    1.3e-04
  23400      1.74e-01    2.64e-01      2.41e-03    3.31e-03      1.52e-02    2.31e-02    1.3e-04
  23500      1.99e-01    2.22e-01      4.92e-03    4.53e-03      1.72e-02    1.93e-02    1.3e-04
  23600      1.89e-01    2.12e-01      1.15e-04    3.63e-04      1.66e-02    1.86e-02    1.3e-04
  23700      1.88e-01    1.76e-01      7.70e-04    1.86e-04      1.65e-02    1.55e-02    1.3e-04
  23800      1.92e-01    3.87e-01      2.69e-03    2.00e-03      1.67e-02    3.40e-02    1.3e-04
  23900      1.87e-01    1.63e-01      5.87e-04    4.78e-04      1.64e-02    1.43e-02    1.3e-04
  24000      1.87e-01    1.91e-01      8.94e-04    1.09e-03      1.64e-02    1.68e-02    1.3e-04
  24100      1.85e-01    2.26e-01      2.37e-04    1.52e-04      1.63e-02    1.99e-02    1.3e-04
  24200      1.86e-01    9.00e-02      8.70e-04    1.03e-03      1.63e-02    7.88e-03    1.3e-04
  24300      2.22e-01    1.89e-01      2.46e-04    3.80e-04      1.95e-02    1.66e-02    1.3e-04
  24400      1.83e-01    1.54e-01      1.61e-03    2.01e-03      1.61e-02    1.35e-02    1.3e-04
  24500      1.79e-01    1.49e-01      8.23e-04    4.48e-04      1.57e-02    1.31e-02    1.3e-04
  24600      1.80e-01    1.42e-01      1.20e-03    9.33e-04      1.58e-02    1.25e-02    1.3e-04
  24700      1.87e-01    1.06e-01      1.73e-04    1.63e-04      1.64e-02    9.30e-03    1.3e-04
  24800      1.90e-01    1.54e-01      1.52e-04    3.40e-04      1.67e-02    1.36e-02    1.3e-04
  24900      1.82e-01    1.76e-01      2.40e-04    4.27e-04      1.60e-02    1.54e-02    1.3e-04
  25000      1.42e-01    1.70e-01      8.81e-04    2.45e-04      1.61e-02    1.93e-02    7.7e-05
  25100      1.43e-01    1.14e-01      2.55e-04    7.34e-04      1.62e-02    1.29e-02    7.7e-05
  25200      1.46e-01    1.57e-01      1.74e-03    1.72e-03      1.65e-02    1.77e-02    7.7e-05
  25300      1.53e-01    1.56e-01      6.32e-04    5.16e-04      1.73e-02    1.76e-02    7.7e-05
  25400      1.38e-01    1.37e-01      1.33e-03    7.85e-04      1.56e-02    1.56e-02    7.7e-05
  25500      1.56e-01    1.36e-01      1.44e-03    1.70e-03      1.77e-02    1.54e-02    7.7e-05
  25600      1.43e-01    1.38e-01      2.21e-03    2.02e-03      1.61e-02    1.55e-02    7.7e-05
  25700      1.47e-01    1.17e-01      5.14e-03    4.77e-03      1.61e-02    1.26e-02    7.7e-05
  25800      1.39e-01    1.48e-01      2.20e-04    3.08e-04      1.57e-02    1.68e-02    7.7e-05
